assemblyΩ1_628	UniRef100_Q64WG0~K06894	91.4	1863	156	2	1	1862	1	1860	0.0	3437
assemblyΩ1_1940	UniRef100_A0A221JK66~K00265	89.2	1516	160	2	1	1514	1	1515	0.0	2633
assemblyΩ1_3048	UniRef100_A0A139T344~K15726	94.1	1439	85	0	1	1439	1	1439	0.0	2553
assemblyΩ1_3455	UniRef100_Q5L898~K03046	99.7	1427	4	0	1	1427	1	1427	0.0	2748
assemblyΩ1_1994	UniRef100_Q64SU0~K02230	93.8	1439	71	1	1	1421	1	1439	0.0	2586
assemblyΩ1_2530	UniRef100_A0A1G1TV42~K01190	97.2	1341	38	0	1	1341	1	1341	0.0	2684
assemblyΩ3_41	UniRef100_A0A0E2ATW9~K02337	97.9	1298	27	0	1	1298	1	1298	0.0	2545
assemblyΩ1_3456	UniRef100_Q5L897~K03043	99.8	1270	2	0	1	1270	1	1270	0.0	2487
assemblyΩ1_2747	UniRef100_A0A016E482~K07787	94.4	1237	69	0	1	1237	1	1237	0.0	2269
assemblyΩ1_4102	UniRef100_G8XBE4~K03427	53.3	1273	552	17	3	1240	1	1265	0.0	1260
assemblyΩ1_2466	UniRef100_Q5LAM4~K01952	98.1	1234	23	0	1	1234	16	1249	0.0	2448
assemblyΩ1_19	UniRef100_Q64YD9~K01190	95.1	1184	58	0	34	1217	1	1184	0.0	2260
assemblyΩ1_4055	UniRef100_A0A139SYD2~K01191	96.4	1205	43	0	1	1205	1	1205	0.0	2388
assemblyΩ1_2482	UniRef100_A0A0K6BWL1~K03737	99.1	1184	11	0	1	1184	1	1184	0.0	2380
assemblyΩ1_3390	UniRef100_Q1CRG0~K00571	36.5	1213	635	29	27	1181	29	1164	8.65e-213	654
assemblyΩ1_3249	UniRef100_A0A127AYQ9~K21573	31.2	1059	602	40	150	1146	33	1026	6.54e-125	415
assemblyΩ1_2971	UniRef100_A0A173VRK9~K13821	82.2	1141	203	0	3	1143	6	1146	0.0	1930
assemblyΩ1_160	UniRef100_W0ET35~K10742	40.6	996	504	20	176	1137	1	942	6.30e-212	641
assemblyΩ1_1551	UniRef100_Q5LCU8~K01870	97.1	1141	33	0	1	1141	1	1141	0.0	2277
assemblyΩ1_38	UniRef100_H8KRZ8~K02014	32.8	1115	620	32	118	1137	17	1097	6.86e-157	502
assemblyΩ1_217	UniRef100_A0A127AYQ9~K21573	32.2	1058	610	36	132	1136	23	1026	1.40e-128	424
assemblyΩ1_4336	UniRef100_A0A0E2AM14~K21573	33.1	1080	556	32	113	1135	32	1002	1.79e-147	474
assemblyΩ1_1652	UniRef100_A0A0P0FUY0~K21573	30.0	1055	589	41	129	1134	26	980	5.24e-99	343
assemblyΩ1_219	UniRef100_A0A127AYQ9~K21573	31.6	1055	621	35	129	1130	20	1026	3.30e-129	426
assemblyΩ1_3515	UniRef100_Q93TH9~K02014	30.1	1134	626	34	129	1129	26	1125	9.59e-137	449
assemblyΩ1_1157	UniRef100_A0A127AYQ9~K21573	31.0	1051	623	31	133	1127	22	1026	2.19e-130	429
assemblyΩ1_3111	UniRef100_A0A127AYQ9~K21573	30.6	1044	630	28	138	1126	23	1026	7.84e-132	433
assemblyΩ1_322	UniRef100_A0A127AYQ9~K21573	32.3	1046	609	30	138	1126	23	1026	5.73e-144	465
assemblyΩ1_2245	UniRef100_A0A015S2Q2~K03723	97.9	1125	24	0	1	1125	1	1125	0.0	2174
assemblyΩ1_1076	UniRef100_Q93TH9~K02014	98.1	1125	21	0	1	1125	1	1125	0.0	2231
assemblyΩ1_4090	UniRef100_A0A0H4VLB0~K21573	30.3	1131	593	40	51	1117	22	1021	7.07e-109	370
assemblyΩ1_198	UniRef100_E1WLW6~K01190	96.3	1111	41	0	1	1111	1	1111	0.0	2234
assemblyΩ1_328	UniRef100_A0A1G1U6I2~K03070	99.1	1109	10	0	1	1109	1	1109	0.0	2109
assemblyΩ1_211	UniRef100_A0A127AYQ9~K21573	32.6	1037	609	32	129	1105	20	1026	5.98e-138	449
assemblyΩ1_215	UniRef100_A0A0P0GN69~K21573	30.0	1056	617	33	118	1103	44	1047	1.01e-112	381
assemblyΩ1_534	UniRef100_H8KRZ8~K02014	30.3	1118	616	33	110	1098	12	1095	7.19e-114	385
assemblyΩ1_4370	UniRef100_A0A127AYQ9~K21573	33.8	1039	593	34	115	1093	23	1026	5.57e-150	480
assemblyΩ1_3256	UniRef100_Q8A7W6~K08676	48.6	1104	546	14	1	1090	1	1097	0.0	952
assemblyΩ1_3862	UniRef100_Q8A7W6~K08676	75.1	1103	256	4	1	1086	1	1101	0.0	1600
assemblyΩ1_2791	UniRef100_H8KRZ8~K02014	31.0	983	533	30	110	991	15	953	2.18e-100	348
assemblyΩ1_3627	UniRef100_A0A127AYQ9~K21573	30.2	1090	612	39	59	1086	24	1026	5.09e-118	395
assemblyΩ1_1761	UniRef100_A0A017NIW8~K08676	97.2	1077	30	0	1	1077	1	1077	0.0	2125
assemblyΩ1_1936	UniRef100_A0A015SHU3~K01955	98.6	1076	15	0	1	1076	1	1076	0.0	2100
assemblyΩ1_3308	UniRef100_A0A149NRN0~K01955	99.2	1073	9	0	1	1073	6	1078	0.0	2093
assemblyΩ1_2719	UniRef100_A0A078T3M4~K03296	81.4	1061	197	0	1	1061	1	1061	0.0	1680
assemblyΩ1_3930	UniRef100_A0A0K6BNM4~K03296	93.7	1067	67	0	1	1067	1	1067	0.0	1918
