assemblyΩ2_2479	UniRef100_A0A078T3M4~K03296	57.5	861	364	2	1	860	1	860	0.0	967
assemblyΩ2_960	UniRef100_A0A149N4Z7~K00688	98.6	775	11	0	1	775	1	775	0.0	1570
assemblyΩ2_549	UniRef100_A0A068DSQ2~K01890	38.9	576	337	7	37	611	45	606	4.92e-136	419
assemblyΩ1_4589	UniRef100_A0A0P0GDS9~K01190	30.1	604	346	12	2	545	142	729	2.75e-82	277
assemblyΩ2_2410	UniRef100_A0A0K6BWM6~K21572	96.8	539	17	0	1	539	1	539	0.0	1058
assemblyΩ2_2001	UniRef100_A0A0E2AKM6~K21572	98.3	539	9	0	1	539	1	539	0.0	1088
assemblyΩ2_2100	UniRef100_H6SQ71~K03701	43.5	550	276	10	1	521	43	586	9.14e-133	404
assemblyΩ2_1846	UniRef100_A0LYA0~K01138	52.1	505	229	6	22	515	22	524	4.41e-179	521
assemblyΩ1_4594	UniRef100_A0A0U5I951~K18138	48.4	502	252	4	6	500	5	506	3.61e-150	448
assemblyΩ2_1970	UniRef100_A0A0K6BWH7~K21575	94.6	503	25	2	4	505	8	509	0.0	1005
assemblyΩ1_4388	UniRef100_Q64ZN5~K15633	96.8	504	16	0	1	504	1	504	0.0	997
assemblyΩ1_4266	UniRef100_Q53WD0~K01190	31.6	516	272	17	2	472	82	561	6.14e-59	209
assemblyΩ2_1421	UniRef100_F6GB13~K18146	43.3	480	265	4	4	478	3	480	6.34e-113	350
assemblyΩ3_146	UniRef100_H2A8Z2~K17686	47.5	463	238	4	4	465	7	465	1.75e-135	406
assemblyΩ2_1838	UniRef100_D2T4T2~K01190	36.8	462	249	10	23	448	1	455	1.76e-86	280
assemblyΩ1_4485	UniRef100_Q64ZU0~K04079	92.6	474	35	0	1	474	115	588	0.0	884
assemblyΩ1_1042	UniRef100_D5ERJ0~K15738	69.3	489	122	3	1	471	120	598	7.42e-233	657
assemblyΩ1_5407	UniRef100_Q5L7N5~K01610	99.3	461	3	0	1	461	46	506	0.0	932
assemblyΩ1_2726	UniRef100_A0A0U1EPQ8~K01138	42.7	468	250	8	10	462	37	501	6.02e-133	399
assemblyΩ1_6244	UniRef100_Q5L8W1~K06178	97.9	466	10	0	1	466	1	466	5.37e-218	613
