1_3361 # 3977555 # 3978331 # 1 # ID=1_3361;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.425	TIGR02224	1.546E-07	42
1_3459 # 4081317 # 4081616 # -1 # ID=1_3459;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.370	TIGR02224	1.351E-27	96
1_3460 # 4081631 # 4082512 # -1 # ID=1_3460;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.424	TIGR02224	5.195E-103	324
1_549 # 709828 # 711057 # 1 # ID=1_549;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=9bp;genetic_code=11;gc_cont=0.477	PF00589.RP35	4.176E-23	93
1_3701 # 4381881 # 4382840 # 1 # ID=1_3701;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=4bp;genetic_code=11;gc_cont=0.397	TIGR02225	4.164E-109	343
1_3390 # 4018418 # 4019647 # -1 # ID=1_3390;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=8bp;genetic_code=11;gc_cont=0.559	TIGR02224	4.609E-24	96
1_2631 # 3111274 # 3112491 # 1 # ID=1_2631;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=9bp;genetic_code=11;gc_cont=0.452	PF00589.RP35	1.393E-20	85
1_2176 # 2539943 # 2540887 # -1 # ID=1_2176;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;genetic_code=11;gc_cont=0.530	PF00589.RP35	5.712E-14	63
1_606 # 754857 # 755963 # -1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=9bp;genetic_code=11;gc_cont=0.482	COG4974	1.294E-51	178
1_941 # 1175597 # 1176811 # 1 # ID=1_941;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=5bp;genetic_code=11;gc_cont=0.510	PF00589.RP35	6.139E-15	67
1_3302 # 3904461 # 3905405 # -1 # ID=1_3302;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=10bp;genetic_code=11;gc_cont=0.416	PF00589.RP35	3.043E-15	67
